127.0.0.1 - - [30/Aug/2021:13:21:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Aug/2021:13:21:42 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [30/Aug/2021:13:21:42 +0530] "GET /project4/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2021:13:21:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Aug/2021:13:21:53 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [30/Aug/2021:13:21:57 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [30/Aug/2021:13:22:31 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [30/Aug/2021:13:26:32 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2021:13:26:32 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:26:20 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:26:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:26:24 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:26:27 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:26:37 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:26:37 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:26:43 +0530] "GET /project4/ctl/MyProfileCtl HTTP/1.1" 200 8130
0:0:0:0:0:0:0:1 - - [30/Aug/2021:19:27:25 +0530] "POST /project4/ctl/MyProfileCtl HTTP/1.1" 302 -
