127.0.0.1 - - [04/Sep/2021:17:27:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:27:44 +0530] "GET /project4/jsp/UserRegistrationView.jsp HTTP/1.1" 200 6115
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:27:44 +0530] "GET /project4/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:27:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:28:13 +0530] "GET /project4/jsp/UserRegistrationView.jsp HTTP/1.1" 200 6085
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:28:56 +0530] "GET /project4/css/images/ui-icons_444444_256x240.png HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:29:21 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 6115
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:35:58 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:35:58 +0530] "GET /project4/UserRegistrationCtl HTTP/1.1" 200 6085
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:37:55 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:38:01 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:38:03 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:38:12 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:38:12 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:38:16 +0530] "GET /project4/ctl/UserCtl HTTP/1.1" 200 8520
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:45:55 +0530] "GET /project4/LoginCtl?operation=logout HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:46:02 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:46:17 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:46:25 +0530] "GET /project4/jsp/ProjectWelcome.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:46:32 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:46:36 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:46:39 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:47:20 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:47:20 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:47:43 +0530] "GET /project4/LoginCtl?operation=logout HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:47:47 +0530] "GET /project4/LoginCtl?operation=logout HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:48:21 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:48:21 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 4773
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:48:35 +0530] "GET /project4/ctl/StudentCtl HTTP/1.1" 200 6974
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:48:46 +0530] "GET /project4/LoginCtl?operation=logout HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:48:53 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:48:53 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:49:00 +0530] "GET /project4/ctl/UserCtl HTTP/1.1" 200 8520
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:51:21 +0530] "GET /project4/jsp/UserView.jsp HTTP/1.1" 500 634
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:51:22 +0530] "GET /project4/jsp/error.jpg HTTP/1.1" 200 13190
0:0:0:0:0:0:0:1 - - [04/Sep/2021:17:51:28 +0530] "GET /project4/jsp/UserView.jsp HTTP/1.1" 500 634
0:0:0:0:0:0:0:1 - - [04/Sep/2021:18:03:09 +0530] "GET /project4/ctl/RoleListCtl HTTP/1.1" 200 8705
0:0:0:0:0:0:0:1 - - [04/Sep/2021:18:03:23 +0530] "GET /project4/ctl/RoleCtl?id=1 HTTP/1.1" 200 6959
0:0:0:0:0:0:0:1 - - [04/Sep/2021:18:03:27 +0530] "POST /project4/ctl/RoleCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:18:03:27 +0530] "GET /project4/ctl/RoleListCtl HTTP/1.1" 200 8705
0:0:0:0:0:0:0:1 - - [04/Sep/2021:18:05:03 +0530] "GET /project4/ctl/UserListCtl HTTP/1.1" 200 12906
0:0:0:0:0:0:0:1 - - [04/Sep/2021:18:05:07 +0530] "POST /project4/ctl/UserListCtl HTTP/1.1" 200 12943
0:0:0:0:0:0:0:1 - - [04/Sep/2021:18:05:09 +0530] "POST /project4/ctl/UserListCtl HTTP/1.1" 200 8955
0:0:0:0:0:0:0:1 - - [04/Sep/2021:18:05:13 +0530] "POST /project4/ctl/UserListCtl HTTP/1.1" 200 12943
0:0:0:0:0:0:0:1 - - [04/Sep/2021:18:05:16 +0530] "POST /project4/ctl/UserListCtl HTTP/1.1" 200 12906
