127.0.0.1 - - [17/Jan/2022:22:47:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:47:14 +0530] "GET /project4/ HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:47:14 +0530] "GET /project4/img/Logo.jpg HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:47:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:47:24 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:47:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:47:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:50:27 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:50:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:50:30 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:50:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:50:30 +0530] "GET /project4/WelcomeCtl HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:50:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:22:50:40 +0530] "GET /project4/ HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:45 +0530] "GET /project4/LoginCtl HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:51 +0530] "POST /project4/LoginCtl HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:56 +0530] "POST /project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:56 +0530] "GET /project4/UserRegistrationCtl HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:56 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:59 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:59 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:16:59 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:04 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:04 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:04 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:13 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:13 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:17:13 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:35:00 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 4999
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:35:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:35:00 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:35:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:35:00 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:42:28 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 4996
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:42:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:42:28 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:42:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:42:29 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5030
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:43:32 +0530] "GET /project4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:10 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 4978
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:11 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:13 +0530] "POST /project4/UserRegistrationCtl HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Jan/2022:23:58:13 +0530] "GET /project4/js/calendar.js HTTP/1.1" 404 869
